Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;277
Nome da estação:;S.José Campos-Jd.Satelite

Data;Hora;Média Horária;Média Horária;Média Horária
;;CO(Monóxido de Carbono) - ppm;MP10(Partículas Inaláveis) - µg/m3;MP2.5(Partículas Inaláveis Finas) - µg/m3
01/01/2016;01:00;0,4;23;21
01/01/2016;02:00;0,5;49;38
01/01/2016;03:00;0,6;59;45
01/01/2016;04:00;0,6;53;45
01/01/2016;05:00;;43;35
01/01/2016;06:00;0,6;47;37
01/01/2016;07:00;0,4;32;20
01/01/2016;08:00;0,3;16;12
01/01/2016;09:00;0,3;15;13
01/01/2016;10:00;0,3;6;1
01/01/2016;11:00;0,3;12;3
01/01/2016;12:00;0,2;6;3
01/01/2016;13:00;0,3;4;2
01/01/2016;14:00;0,3;6;3
01/01/2016;15:00;0,3;8;10
01/01/2016;16:00;0,3;19;15
01/01/2016;17:00;0,3;11;4
01/01/2016;18:00;0,3;16;14
01/01/2016;19:00;0,3;6;7
01/01/2016;20:00;0,3;10;9
01/01/2016;21:00;0,3;8;5
01/01/2016;22:00;0,3;8;6
01/01/2016;23:00;0,3;11;5
01/01/2016;24:00;0,4;11;7
02/01/2016;01:00;0,3;12;4
02/01/2016;02:00;0,3;12;5
02/01/2016;03:00;0,4;12;8
02/01/2016;04:00;0,3;13;8
02/01/2016;05:00;;9;2
02/01/2016;06:00;0,3;11;5
02/01/2016;07:00;0,3;9;7
02/01/2016;08:00;0,3;15;4
02/01/2016;09:00;0,3;12;9
02/01/2016;10:00;0,3;9;3
02/01/2016;11:00;0,3;8;3
02/01/2016;12:00;0,3;4;1
02/01/2016;13:00;0,3;9;5
02/01/2016;14:00;0,3;5;3
02/01/2016;15:00;0,3;15;9
02/01/2016;16:00;0,3;20;16
02/01/2016;17:00;0,3;6;1
02/01/2016;18:00;0,3;14;12
02/01/2016;19:00;0,3;7;9
02/01/2016;20:00;0,3;12;5
02/01/2016;21:00;0,2;8;7
02/01/2016;22:00;0,2;3;1
02/01/2016;23:00;0,3;3;5
02/01/2016;24:00;0,3;6;2
03/01/2016;01:00;0,3;3;3
03/01/2016;02:00;0,2;6;2
03/01/2016;03:00;0,2;8;2
03/01/2016;04:00;0,2;5;3
03/01/2016;05:00;;9;3
03/01/2016;06:00;0,2;11;1
03/01/2016;07:00;0,2;9;3
03/01/2016;08:00;0,2;12;0
03/01/2016;09:00;0,2;5;3
03/01/2016;10:00;0,2;5;1
03/01/2016;11:00;0,2;4;1
03/01/2016;12:00;0,2;3;0
03/01/2016;13:00;0,2;3;1
03/01/2016;14:00;0,2;1;3
03/01/2016;15:00;0,2;11;0
03/01/2016;16:00;0,2;4;4
03/01/2016;17:00;0,2;4;6
03/01/2016;18:00;0,2;7;6
03/01/2016;19:00;0,2;13;5
03/01/2016;20:00;0,2;28;4
03/01/2016;21:00;0,2;3;4
03/01/2016;22:00;0,2;1;2
03/01/2016;23:00;0,2;6;2
03/01/2016;24:00;0,2;4;5
04/01/2016;01:00;0,2;7;4
04/01/2016;02:00;0,2;5;1
04/01/2016;03:00;0,2;14;4
04/01/2016;04:00;0,2;6;5
04/01/2016;05:00;;13;3
04/01/2016;06:00;0,2;8;6
04/01/2016;07:00;0,2;14;6
04/01/2016;08:00;0,2;9;1
04/01/2016;09:00;0,2;7;3
04/01/2016;10:00;0,2;13;4
04/01/2016;11:00;0,2;11;3
04/01/2016;12:00;0,2;12;2
04/01/2016;13:00;0,2;17;10
04/01/2016;14:00;0,2;17;3
04/01/2016;15:00;0,2;8;14
04/01/2016;16:00;0,2;13;6
04/01/2016;17:00;0,2;13;7
04/01/2016;18:00;0,2;14;6
04/01/2016;19:00;0,2;19;11
04/01/2016;20:00;0,2;14;7
04/01/2016;21:00;0,2;14;7
04/01/2016;22:00;0,2;6;4
04/01/2016;23:00;0,2;12;5
04/01/2016;24:00;0,2;7;2
05/01/2016;01:00;0,2;8;2
05/01/2016;02:00;0,2;12;6
05/01/2016;03:00;0,2;15;7
05/01/2016;04:00;0,1;8;5
05/01/2016;05:00;;9;2
05/01/2016;06:00;0,2;14;6
05/01/2016;07:00;0,2;12;4
05/01/2016;08:00;0,2;14;2
05/01/2016;09:00;0,3;16;5
05/01/2016;10:00;0,2;19;5
05/01/2016;11:00;0,2;17;6
05/01/2016;12:00;0,2;17;3
05/01/2016;13:00;0,2;16;8
05/01/2016;14:00;0,2;13;6
05/01/2016;15:00;0,2;4;3
05/01/2016;16:00;0,2;20;14
05/01/2016;17:00;0,2;17;7
05/01/2016;18:00;0,2;23;9
05/01/2016;19:00;0,2;25;12
05/01/2016;20:00;0,2;35;19
05/01/2016;21:00;0,2;21;14
05/01/2016;22:00;0,2;18;13
05/01/2016;23:00;0,2;16;5
05/01/2016;24:00;0,2;16;10
06/01/2016;01:00;0,2;21;6
06/01/2016;02:00;0,2;13;7
06/01/2016;03:00;0,2;13;5
06/01/2016;04:00;0,2;10;6
06/01/2016;05:00;;15;9
06/01/2016;06:00;0,2;12;6
06/01/2016;07:00;0,2;19;5
06/01/2016;08:00;0,2;17;9
06/01/2016;09:00;0,3;21;13
06/01/2016;10:00;0,3;20;9
06/01/2016;11:00;0,3;30;13
06/01/2016;12:00;0,3;34;9
06/01/2016;13:00;0,2;25;9
06/01/2016;14:00;0,2;26;17
06/01/2016;15:00;0,3;37;25
06/01/2016;16:00;0,2;40;27
06/01/2016;17:00;0,2;31;12
06/01/2016;18:00;0,3;32;22
06/01/2016;19:00;0,2;22;8
06/01/2016;20:00;0,2;33;23
